item_cd,store_cdード,商品名,日付,発注GP,販売数,部門コード,部門名
4942322207223,861,FANGuard-M14 B,2018-08-30,ＤＯＳ／Ｖパーツ,2,368072,冷却装置
4942322207223,861,FANGuard-M14 B,2018-08-31,ＤＯＳ／Ｖパーツ,0,368072,冷却装置
4943508301070,861,水冷ｼｽﾃﾑ KRAKEN X72 RL-KRX72-01,2018-08-30,ＤＯＳ／Ｖパーツ,1,368072,冷却装置
4943508301070,861,水冷ｼｽﾃﾑ KRAKEN X72 RL-KRX72-01,2018-08-31,ＤＯＳ／Ｖパーツ,0,368072,冷却装置
4549526600340,861,電子辞書(英会話学習機),2018-08-30,ＰＣ関連,1,447020,電子辞書
4549526600340,861,電子辞書(英会話学習機),2018-08-31,ＰＣ関連,0,447020,電子辞書
4549526604461,861,電子辞書(英会話学習機),2018-08-30,ＰＣ関連,1,447020,電子辞書
4549526604461,861,電子辞書(英会話学習機),2018-08-31,ＰＣ関連,0,447020,電子辞書
4549526604492,861,電子辞書(英会話学習機),2018-08-30,ＰＣ関連,1,447020,電子辞書
4549526604492,861,電子辞書(英会話学習機),2018-08-31,ＰＣ関連,0,447020,電子辞書
4549526605444,861,電子辞書 高校生ﾓﾃﾞﾙ,2018-08-30,ＰＣ関連,2,447020,電子辞書
4549526605444,861,電子辞書 高校生ﾓﾃﾞﾙ,2018-08-31,ＰＣ関連,0,447020,電子辞書
4549526605567,861,電子辞書 中学生ﾓﾃﾞﾙ,2018-08-30,ＰＣ関連,1,447020,電子辞書
4549526605567,861,電子辞書 中学生ﾓﾃﾞﾙ,2018-08-31,ＰＣ関連,0,447020,電子辞書
4549526605611,861,電子辞書 英語,2018-08-30,ＰＣ関連,1,447020,電子辞書
4549526605611,861,電子辞書 英語,2018-08-31,ＰＣ関連,0,447020,電子辞書
4549526605642,861,電子辞書 理化学,2018-08-30,ＰＣ関連,1,447020,電子辞書
4549526605642,861,電子辞書 理化学,2018-08-31,ＰＣ関連,0,447020,電子辞書
4549526605666,861,電子辞書 ﾌﾟﾛﾌｪｯｼｮﾅﾙﾓﾃﾞﾙ,2018-08-30,ＰＣ関連,3,447020,電子辞書
4549526605666,861,電子辞書 ﾌﾟﾛﾌｪｯｼｮﾅﾙﾓﾃﾞﾙ,2018-08-31,ＰＣ関連,0,447020,電子辞書
4549526605710,861,電子辞書 生活教養ﾓﾃﾞﾙ,2018-08-30,ＰＣ関連,1,447020,電子辞書
4549526605710,861,電子辞書 生活教養ﾓﾃﾞﾙ,2018-08-31,ＰＣ関連,0,447020,電子辞書
4549526607448,861,電子辞書,2018-08-30,ＰＣ関連,1,447020,電子辞書
4549526607448,861,電子辞書,2018-08-31,ＰＣ関連,0,447020,電子辞書
4971850033332,861,電子辞書,2018-08-30,ＰＣ関連,1,447020,電子辞書
4971850033332,861,電子辞書,2018-08-31,ＰＣ関連,0,447020,電子辞書
6926954206852,861,Langie 携帯型電子翻訳機(52ｹ国語対応･Wi-Fi接続),2018-08-30,ＰＣ関連,1,447030,翻訳機
6926954206852,861,Langie 携帯型電子翻訳機(52ｹ国語対応･Wi-Fi接続),2018-08-31,ＰＣ関連,0,447030,翻訳機
4950190365150,861,Bluetoothｵｰﾃﾞｨｵﾄﾗﾝｽﾐｯﾀｰ&ﾚｼｰﾊﾞｰ,2018-08-30,オーディオアクセサリ,1,107790,ＢＴ関連アクセサリー
4950190365150,861,Bluetoothｵｰﾃﾞｨｵﾄﾗﾝｽﾐｯﾀｰ&ﾚｼｰﾊﾞｰ,2018-08-31,オーディオアクセサリ,0,107790,ＢＴ関連アクセサリー
4961310142056,861,ﾜｲﾔﾚｽﾍｯﾄﾞﾎﾝｱﾝﾌﾟ,2018-08-30,オーディオアクセサリ,1,107790,ＢＴ関連アクセサリー
4961310142056,861,ﾜｲﾔﾚｽﾍｯﾄﾞﾎﾝｱﾝﾌﾟ,2018-08-31,オーディオアクセサリ,0,107790,ＢＴ関連アクセサリー
4905524929751,861,TV向けﾜｲﾔﾚｽﾍｯﾄﾞﾎﾝ,2018-08-30,オーディオアクセサリ,3,108018,ＴＶ用ヘッドホン
4905524929751,861,TV向けﾜｲﾔﾚｽﾍｯﾄﾞﾎﾝ,2018-08-31,オーディオアクセサリ,0,108018,ＴＶ用ヘッドホン
4961310092467,861,TV向けﾍｯﾄﾞﾎﾝ,2018-08-30,オーディオアクセサリ,1,108018,ＴＶ用ヘッドホン
4961310092467,861,TV向けﾍｯﾄﾞﾎﾝ,2018-08-31,オーディオアクセサリ,0,108018,ＴＶ用ヘッドホン
4961310133313,861,TV向けﾍｯﾄﾞﾎﾝ,2018-08-30,オーディオアクセサリ,2,108018,ＴＶ用ヘッドホン
4961310133313,861,TV向けﾍｯﾄﾞﾎﾝ,2018-08-31,オーディオアクセサリ,0,108018,ＴＶ用ヘッドホン
4975769446122,861,TV向けﾜｲﾔﾚｽﾍｯﾄﾞﾎﾝ,2018-08-30,オーディオアクセサリ,1,108018,ＴＶ用ヘッドホン
4975769446122,861,TV向けﾜｲﾔﾚｽﾍｯﾄﾞﾎﾝ,2018-08-31,オーディオアクセサリ,0,108018,ＴＶ用ヘッドホン
4988028254765,861,TV向けﾍｯﾄﾞﾎﾝ,2018-08-30,オーディオアクセサリ,1,108018,ＴＶ用ヘッドホン
4988028254765,861,TV向けﾍｯﾄﾞﾎﾝ,2018-08-31,オーディオアクセサリ,0,108018,ＴＶ用ヘッドホン
4975769350467,861,ｲﾔｰﾋﾟｰｽ M,2018-08-30,オーディオアクセサリ,1,107781,イヤーピース
4975769350467,861,ｲﾔｰﾋﾟｰｽ M,2018-08-31,オーディオアクセサリ,0,107781,イヤーピース
4961310086336,861,片耳ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,1,108013,インナー型イヤホン
4961310086336,861,片耳ｲﾔﾎﾝ,2018-08-31,オーディオアクセサリ,0,108013,インナー型イヤホン
4975769355776,861,ｲﾝﾅｰｲﾔｰ型ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,1,108013,インナー型イヤホン
4975769355776,861,ｲﾝﾅｰｲﾔｰ型ｲﾔﾎﾝ,2018-08-31,オーディオアクセサリ,0,108013,インナー型イヤホン
4961310077150,861,AT3A45ST/1.0,2018-08-30,オーディオアクセサリ,2,108090,オーディオケーブル
4961310077150,861,AT3A45ST/1.0,2018-08-31,オーディオアクセサリ,0,108090,オーディオケーブル
4961310096861,861,AT544A/1.0 ﾌｧｲﾝ,2018-08-30,オーディオアクセサリ,1,108090,オーディオケーブル
4961310096861,861,AT544A/1.0 ﾌｧｲﾝ,2018-08-31,オーディオアクセサリ,0,108090,オーディオケーブル
4961310097110,861,AT594D/1.0 同軸ﾃﾞｼﾞﾀﾙｹｰﾌﾞﾙ ﾌｧｲﾝ,2018-08-30,オーディオアクセサリ,1,108090,オーディオケーブル
4961310097110,861,AT594D/1.0 同軸ﾃﾞｼﾞﾀﾙｹｰﾌﾞﾙ ﾌｧｲﾝ,2018-08-31,オーディオアクセサリ,0,108090,オーディオケーブル
4905524957044,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,1,108012,カナル型イヤホン
4905524957044,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-31,オーディオアクセサリ,0,108012,カナル型イヤホン
4961310138677,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,1,108012,カナル型イヤホン
4961310138677,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-31,オーディオアクセサリ,0,108012,カナル型イヤホン
4975769397813,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,1,108012,カナル型イヤホン
4975769397813,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-31,オーディオアクセサリ,0,108012,カナル型イヤホン
4984824829824,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,1,108012,カナル型イヤホン
4984824829824,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-31,オーディオアクセサリ,0,108012,カナル型イヤホン
4984824829862,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,2,108012,カナル型イヤホン
4984824829862,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-31,オーディオアクセサリ,0,108012,カナル型イヤホン
4984824980570,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,3,108012,カナル型イヤホン
4984824980570,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-31,オーディオアクセサリ,0,108012,カナル型イヤホン
4984824980587,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,1,108012,カナル型イヤホン
4984824980587,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-31,オーディオアクセサリ,0,108012,カナル型イヤホン
4984824980594,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,1,108012,カナル型イヤホン
4984824980594,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-31,オーディオアクセサリ,0,108012,カナル型イヤホン
4984824980600,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,2,108012,カナル型イヤホン
4984824980600,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-31,オーディオアクセサリ,0,108012,カナル型イヤホン
4984824980617,861,ｶﾅﾙ型ｲﾔﾎﾝ,2018-08-30,オーディオアクセサリ,2,108012,カナル型イヤホン
