item_cd,store_cd,日付,chanel_gp,販売数
3045386376735,861,2018-06-09,Amazon,2.0
3045386376735,861,2018-06-09,Yahoo!,0.0
3045386376735,861,2018-06-09,楽天,0.0
3045386376735,861,2018-06-09,自社EC,3.0
3045386376735,861,2018-06-10,Amazon,1.0
3045386376735,861,2018-06-10,Yahoo!,4.0
3045386376735,861,2018-06-10,楽天,2.0
3045386376735,861,2018-06-10,自社EC,4.0
3045386376735,861,2018-06-11,Amazon,0.0
3045386376735,861,2018-06-11,Yahoo!,0.0
3045386376735,861,2018-06-11,楽天,0.0
3045386376735,861,2018-06-11,自社EC,1.0
3045386376735,861,2018-06-12,Amazon,2.0
3045386376735,861,2018-06-12,Yahoo!,0.0
3045386376735,861,2018-06-12,楽天,0.0
3045386376735,861,2018-06-12,自社EC,1.0
3045386376735,861,2018-06-13,Amazon,1.0
3045386376735,861,2018-06-13,Yahoo!,0.0
3045386376735,861,2018-06-13,楽天,0.0
3045386376735,861,2018-06-13,自社EC,1.0
3045386376735,861,2018-06-14,Amazon,0.0
3045386376735,861,2018-06-14,Yahoo!,0.0
3045386376735,861,2018-06-14,楽天,2.0
3045386376735,861,2018-06-14,自社EC,0.0
3045386376735,861,2018-06-15,Amazon,0.0
3045386376735,861,2018-06-15,Yahoo!,0.0
3045386376735,861,2018-06-15,楽天,3.0
3045386376735,861,2018-06-15,自社EC,1.0
3045386376735,861,2018-06-16,Amazon,0.0
3045386376735,861,2018-06-16,Yahoo!,1.0
3045386376735,861,2018-06-16,楽天,3.0
3045386376735,861,2018-06-16,自社EC,0.0
3045386376735,861,2018-06-17,Amazon,0.0
3045386376735,861,2018-06-17,Yahoo!,1.0
3045386376735,861,2018-06-17,楽天,5.0
3045386376735,861,2018-06-17,自社EC,0.0
3045386376735,861,2018-06-18,Amazon,0.0
3045386376735,861,2018-06-18,Yahoo!,0.0
3045386376735,861,2018-06-18,楽天,2.0
3045386376735,861,2018-06-18,自社EC,1.0
3045386376735,861,2018-06-19,Amazon,0.0
