ì˙ït,store_cd,item_cd,ëçç›å…ó ,îÃîÑâ¬î\ç›å…,à⁄ëóíÜ,î≠íçéc
2018-04-12,861,4548736011564,40,0,0,40
2018-04-13,861,4548736011564,40,0,0,40
2018-04-14,861,4548736011564,40,0,0,40
2018-04-15,861,4548736011564,40,0,0,40
2018-04-16,861,4548736011564,40,39,1,0
2018-04-17,861,4548736011564,40,39,1,0
2018-04-18,861,4548736011564,39,38,1,0
2018-04-19,861,4548736011564,38,37,1,0
2018-04-20,861,4548736011564,36,35,1,0
2018-04-21,861,4548736011564,32,32,0,0
2018-04-22,861,4548736011564,32,32,0,0
2018-04-23,861,4548736011564,30,30,0,0
2018-04-24,861,4548736011564,26,26,0,0
2018-04-25,861,4548736011564,25,25,0,0
2018-04-26,861,4548736011564,25,25,0,0
2018-04-27,861,4548736011564,25,25,0,0
2018-04-28,861,4548736011564,23,23,0,0
2018-04-29,861,4548736011564,23,23,0,0
2018-04-30,861,4548736011564,22,22,0,0
2018-05-01,861,4548736011564,17,17,0,0
2018-05-02,861,4548736011564,17,17,0,0
2018-05-03,861,4548736011564,20,16,4,0
2018-05-04,861,4548736011564,19,19,0,0
2018-05-05,861,4548736011564,14,14,0,0
2018-05-06,861,4548736011564,12,12,0,0
2018-05-07,861,4548736011564,9,9,0,0
2018-05-08,861,4548736011564,10,8,0,2
2018-05-09,861,4548736011564,10,9,0,1
2018-05-10,861,4548736011564,10,9,0,1
2018-05-11,861,4548736011564,9,9,0,0
2018-05-12,861,4548736011564,6,6,0,0
2018-05-13,861,4548736011564,5,5,0,0
2018-05-14,861,4548736011564,4,4,0,0
2018-05-15,861,4548736011564,8,1,0,7
2018-05-16,861,4548736011564,11,7,0,4
2018-05-17,861,4548736011564,11,7,0,4
2018-05-18,861,4548736011564,10,10,0,0
2018-05-19,861,4548736011564,10,10,0,0
2018-05-20,861,4548736011564,8,8,0,0
2018-05-21,861,4548736011564,8,8,0,0
2018-05-22,861,4548736011564,10,8,0,2
2018-05-23,861,4548736011564,7,7,0,0
2018-05-24,861,4548736011564,7,7,0,0
2018-05-25,861,4548736011564,8,6,0,2
2018-05-26,861,4548736011564,8,8,0,0
2018-05-27,861,4548736011564,7,7,0,0
2018-05-28,861,4548736011564,6,6,0,0
2018-05-29,861,4548736011564,4,4,0,0
2018-05-30,861,4548736011564,3,3,0,0
2018-05-31,861,4548736011564,9,2,0,7
2018-06-01,861,4548736011564,9,9,0,0
2018-06-02,861,4548736011564,9,9,0,0
2018-06-03,861,4548736011564,8,8,0,0
2018-06-04,861,4548736011564,7,7,0,0
2018-06-05,861,4548736011564,7,7,0,0
2018-06-06,861,4548736011564,1,1,0,0
2018-06-07,861,4548736011564,7,0,0,7
2018-06-08,861,4548736011564,5,5,0,0
2018-06-09,861,4548736011564,4,4,0,0
2018-06-10,861,4548736011564,1,1,0,0
2018-06-11,861,4548736011564,7,0,0,7
2018-06-12,861,4548736011564,7,0,0,7
2018-06-13,861,4548736011564,6,4,0,2
2018-06-14,861,4548736011564,18,7,0,11
2018-06-15,861,4548736011564,16,7,0,9
2018-06-16,861,4548736011564,15,15,0,0
2018-06-17,861,4548736011564,8,8,0,0
2018-06-18,861,4548736011564,11,9,0,2
2018-06-19,861,4548736011564,3,3,0,0
2018-06-20,861,4548736011564,10,2,0,8
2018-06-21,861,4548736011564,9,0,0,9
2018-06-22,861,4548736011564,10,9,0,1
2018-06-23,861,4548736011564,9,9,0,0
2018-06-24,861,4548736011564,8,8,0,0
2018-06-25,861,4548736011564,13,8,0,5
2018-06-26,861,4548736011564,13,13,0,0
2018-06-27,861,4548736011564,13,12,1,0
2018-06-28,861,4548736011564,12,12,0,0
2018-06-29,861,4548736011564,12,12,0,0
2018-06-30,861,4548736011564,11,11,0,0
2018-07-01,861,4548736011564,11,11,0,0
2018-07-02,861,4548736011564,13,11,0,2
2018-07-03,861,4548736011564,12,12,0,0
2018-07-04,861,4548736011564,12,12,0,0
2018-07-05,861,4548736011564,12,12,0,0
2018-07-06,861,4548736011564,10,10,0,0
2018-07-07,861,4548736011564,7,7,0,0
2018-07-08,861,4548736011564,5,5,0,0
2018-07-09,861,4548736011564,3,3,0,0
2018-07-10,861,4548736011564,3,0,0,3
2018-07-11,861,4548736011564,8,1,0,7
2018-07-12,861,4548736011564,9,0,0,9
2018-07-13,861,4548736011564,9,8,1,0
2018-07-14,861,4548736011564,9,8,1,0
2018-07-15,861,4548736011564,8,7,1,0
2018-07-16,861,4548736011564,1,0,1,0
2018-07-17,861,4548736011564,6,0,1,5
2018-07-18,861,4548736011564,8,1,0,7
2018-07-19,861,4548736011564,10,6,0,4
2018-07-20,861,4548736011564,9,9,0,0
2018-07-21,861,4548736011564,8,8,0,0
2018-07-22,861,4548736011564,8,8,0,0
2018-07-23,861,4548736011564,8,7,0,1
2018-07-24,861,4548736011564,9,6,0,3
2018-07-25,861,4548736011564,11,8,0,3
2018-07-26,861,4548736011564,11,7,0,4
2018-07-27,861,4548736011564,11,10,0,1
2018-07-28,861,4548736011564,5,5,0,0
2018-07-29,861,4548736011564,0,0,0,0
2018-07-30,861,4548736011564,14,0,0,14
2018-07-31,861,4548736011564,14,0,0,14
2018-04-01,861,4548736016521,142,142,0,0
2018-04-02,861,4548736016521,176,139,0,37
2018-04-03,861,4548736016521,190,132,0,58
2018-04-04,861,4548736016521,187,166,0,21
2018-04-05,861,4548736016521,176,176,0,0
2018-04-06,861,4548736016521,167,167,0,0
2018-04-07,861,4548736016521,165,165,0,0
2018-04-08,861,4548736016521,157,157,0,0
2018-04-09,861,4548736016521,182,146,0,36
2018-04-10,861,4548736016521,227,141,0,86
2018-04-11,861,4548736016521,217,167,0,50
2018-04-12,861,4548736016521,236,194,0,42
2018-04-13,861,4548736016521,232,190,0,42
2018-04-14,861,4548736016521,227,227,0,0
2018-04-15,861,4548736016521,217,217,0,0
2018-04-16,861,4548736016521,209,209,0,0
2018-04-17,861,4548736016521,205,205,0,0
2018-04-18,861,4548736016521,201,201,0,0
2018-04-19,861,4548736016521,205,191,0,14
2018-04-20,861,4548736016521,200,186,0,14
2018-04-21,861,4548736016521,193,193,0,0
2018-04-22,861,4548736016521,187,187,0,0
2018-04-23,861,4548736016521,183,183,0,0
2018-04-24,861,4548736016521,210,178,0,32
2018-04-25,861,4548736016521,207,175,0,32
2018-04-26,861,4548736016521,203,203,0,0
2018-04-27,861,4548736016521,202,202,0,0
2018-04-28,861,4548736016521,200,200,0,0
2018-04-29,861,4548736016521,199,199,0,0
2018-04-30,861,4548736016521,195,195,0,0
2018-05-01,861,4548736016521,194,194,0,0
2018-05-02,861,4548736016521,197,197,0,0
